protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00682/19;00005/2019;Pregao Presencial;201101;39025000;2019;7,58074E+12;58102000;1
Doc. 00689/19;00001/2019;Pregao Presencial;201053;22055000;2019;2,50082E+13;34016676;0
Doc. 00689/19;00001/2019;Pregao Presencial;201053;22055000;2019;2,99728E+13;33845665;1
Doc. 00689/19;00001/2019;Pregao Presencial;201053;39025000;2019;3,0221E+13;34016676;0
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35578900;2019;4,67912E+12;3230000;1
Doc. 00690/19;00002/2019;Pregao Presencial;201053;13992000;2019;4,94949E+12;4845000;0
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35578900;2019;1,14274E+13;3781000;0
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35578900;2019;1,7572E+13;4890600;0
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35578900;2019;1,89955E+13;3610000;0
Doc. 00690/19;00002/2019;Pregao Presencial;201053;35578900;2019;1,99189E+13;3705000;0
Doc. 00690/19;00002/2019;Pregao Presencial;201053;8001000;2019;2,10628E+13;4311100;0
Doc. 00690/20;00001/2020;Pregao Presencial;201006;25500000;2020;4,91816E+12;1497400;1
Doc. 00690/20;00001/2020;Pregao Presencial;201006;25500000;2020;2,68892E+13;4668750;1
Doc. 00692/20;00002/2020;Pregao Presencial;201044;7305000;2020;3,1095E+13;11600000;1
Doc. 00704/20;00001/2020;Pregao Presencial;201044;7305000;2020;3,60506E+12;61740500;1
Doc. 00716/20;00002/2020;Pregao Presencial;201172;47069250;2020;4,61256E+12;25000000;1
Doc. 00719/19;00004/2019;Pregao Presencial;201067;2500000;2019;7,83311E+12;7042400;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;11760000;2019;8,82928E+12;962450;1
Doc. 00719/19;00004/2019;Pregao Presencial;201067;600000;2019;1,03593E+13;10024500;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;700000;2019;1,38642E+13;11289740;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;91665000;2019;1,77745E+13;15577000;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;11760000;2019;1,86584E+13;2350930;1
Doc. 00719/19;00004/2019;Pregao Presencial;201067;35578900;2019;1,98409E+13;17981700;0
Doc. 00719/19;00004/2019;Pregao Presencial;201067;10000000;2019;2,03859E+13;10672250;0
